Date,"Median Time from Offense to Case Closure Value","Median Time from Offense to Case Closure Error / Warning","Median Time from Offense to Case Closure Average Days","Median Time from Offense to Case Closure Minimum Days","Median Time from Offense to Case Closure Maximum Days","Median Time from Offense to Case Closure Standard Deviation Days","Median Time from Offense to Case Closure Total Number of Cases","Median Time from Offense to Case Closure Unknown Days Offense to Closure","Median Time from Offense to Case Referral Value","Median Time from Offense to Case Referral Error / Warning","Median Time from Offense to Case Referral Average Days","Median Time from Offense to Case Referral Minimum Days","Median Time from Offense to Case Referral Maximum Days","Median Time from Offense to Case Referral Standard Deviation Days","Median Time from Offense to Case Referral Total Number of Cases","Median Time from Offense to Case Referral Unknown Days Offense to Case Referral","Median Time from Case Referral to Charging Value","Median Time from Case Referral to Charging Error / Warning","Median Time from Case Referral to Charging Average Days","Median Time from Case Referral to Charging Minimum Days","Median Time from Case Referral to Charging Maximum Days","Median Time from Case Referral to Charging Standard Deviation Days","Median Time from Case Referral to Charging Total Number of Cases","Median Time from Case Referral to Charging Unknown Days Case Referral to Charging","Median Time from Charging to Arraignment Value","Median Time from Charging to Arraignment Error / Warning","Median Time from Charging to Arraignment Average Days","Median Time from Charging to Arraignment Minimum Days","Median Time from Charging to Arraignment Maximum Days","Median Time from Charging to Arraignment Standard Deviation Days","Median Time from Charging to Arraignment Total Number of Cases","Median Time from Charging to Arraignment Unknown Days Charging to Arraignment","Median Time from Arraignment to Case Closure Value","Median Time from Arraignment to Case Closure Error / Warning","Median Time from Arraignment to Case Closure Average Days","Median Time from Arraignment to Case Closure Minimum Days","Median Time from Arraignment to Case Closure Maximum Days","Median Time from Arraignment to Case Closure Standard Deviation Days","Median Time from Arraignment to Case Closure Total Number of Cases","Median Time from Arraignment to Case Closure Unknown Days Arraignment to Closure","Median Time from Offense to Case Closure: Misdemeanors Value","Median Time from Offense to Case Closure: Misdemeanors Error / Warning","Median Time from Offense to Case Closure: Misdemeanors Average Days","Median Time from Offense to Case Closure: Misdemeanors Minimum Days","Median Time from Offense to Case Closure: Misdemeanors Maximum Days","Median Time from Offense to Case Closure: Misdemeanors Standard Deviation Days","Median Time from Offense to Case Closure: Misdemeanors Total Number of Cases","Median Time from Offense to Case Closure: Misdemeanors Unknown Days Offense to Closure","Median Time from Offense to Case Referral: Misdemeanors Value","Median Time from Offense to Case Referral: Misdemeanors Error / Warning","Median Time from Offense to Case Referral: Misdemeanors Average Days","Median Time from Offense to Case Referral: Misdemeanors Minimum Days","Median Time from Offense to Case Referral: Misdemeanors Maximum Days","Median Time from Offense to Case Referral: Misdemeanors Standard Deviation Days","Median Time from Offense to Case Referral: Misdemeanors Total Number of Cases","Median Time from Offense to Case Referral: Misdemeanors Unknown Days Offense to Case Referral","Median Time from Case Referral to Charging: Misdemeanors Value","Median Time from Case Referral to Charging: Misdemeanors Error / Warning","Median Time from Case Referral to Charging: Misdemeanors Average Days","Median Time from Case Referral to Charging: Misdemeanors Minimum Days","Median Time from Case Referral to Charging: Misdemeanors Maximum Days","Median Time from Case Referral to Charging: Misdemeanors Standard Deviation Days","Median Time from Case Referral to Charging: Misdemeanors Total Number of Cases","Median Time from Case Referral to Charging: Misdemeanors Unknown Days Case Referral to Charging","Median Time from Charging to Arraignment: Misdemeanors Value","Median Time from Charging to Arraignment: Misdemeanors Error / Warning","Median Time from Charging to Arraignment: Misdemeanors Average Days","Median Time from Charging to Arraignment: Misdemeanors Minimum Days","Median Time from Charging to Arraignment: Misdemeanors Maximum Days","Median Time from Charging to Arraignment: Misdemeanors Standard Deviation Days","Median Time from Charging to Arraignment: Misdemeanors Total Number of Cases","Median Time from Charging to Arraignment: Misdemeanors Unknown Days Charging to Arraignment","Median Time from Arraignment to Case Closure: Misdemeanors Value","Median Time from Arraignment to Case Closure: Misdemeanors Error / Warning","Median Time from Arraignment to Case Closure: Misdemeanors Average Days","Median Time from Arraignment to Case Closure: Misdemeanors Minimum Days","Median Time from Arraignment to Case Closure: Misdemeanors Maximum Days","Median Time from Arraignment to Case Closure: Misdemeanors Standard Deviation Days","Median Time from Arraignment to Case Closure: Misdemeanors Total Number of Cases","Median Time from Arraignment to Case Closure: Misdemeanors Unknown Days Arraignment to Closure","Failures to Appear in Court: Misdemeanors ","Failures to Appear in Court: Misdemeanors Error / Warning","Median Time from Offense to Case Closure: Felonies Value","Median Time from Offense to Case Closure: Felonies Error / Warning","Median Time from Offense to Case Closure: Felonies Average Days","Median Time from Offense to Case Closure: Felonies Minimum Days","Median Time from Offense to Case Closure: Felonies Maximum Days","Median Time from Offense to Case Closure: Felonies Standard Deviation Days","Median Time from Offense to Case Closure: Felonies Total Number of Cases","Median Time from Offense to Case Closure: Felonies Unknown Days Offense to Closure","Median Time from Offense to Case Referral: Felonies Value","Median Time from Offense to Case Referral: Felonies Error / Warning","Median Time from Offense to Case Referral: Felonies Average Days","Median Time from Offense to Case Referral: Felonies Minimum Days","Median Time from Offense to Case Referral: Felonies Maximum Days","Median Time from Offense to Case Referral: Felonies Standard Deviation Days","Median Time from Offense to Case Referral: Felonies Total Number of Cases","Median Time from Offense to Case Referral: Felonies Unknown Days Offense to Case Referral","Median Time from Case Referral to Charging: Felonies Value","Median Time from Case Referral to Charging: Felonies Error / Warning","Median Time from Case Referral to Charging: Felonies Average Days","Median Time from Case Referral to Charging: Felonies Minimum Days","Median Time from Case Referral to Charging: Felonies Maximum Days","Median Time from Case Referral to Charging: Felonies Standard Deviation Days","Median Time from Case Referral to Charging: Felonies Total Number of Cases","Median Time from Case Referral to Charging: Felonies Unknown Days Case Referral to Charging","Median Time from Charging to Arraignment: Felonies Value","Median Time from Charging to Arraignment: Felonies Error / Warning","Median Time from Charging to Arraignment: Felonies Average Days","Median Time from Charging to Arraignment: Felonies Minimum Days","Median Time from Charging to Arraignment: Felonies Maximum Days","Median Time from Charging to Arraignment: Felonies Standard Deviation Days","Median Time from Charging to Arraignment: Felonies Total Number of Cases","Median Time from Charging to Arraignment: Felonies Unknown Days Charging to Arraignment","Median Time from Arraignment to Case Closure: Felonies Value","Median Time from Arraignment to Case Closure: Felonies Error / Warning","Median Time from Arraignment to Case Closure: Felonies Average Days","Median Time from Arraignment to Case Closure: Felonies Minimum Days","Median Time from Arraignment to Case Closure: Felonies Maximum Days","Median Time from Arraignment to Case Closure: Felonies Standard Deviation Days","Median Time from Arraignment to Case Closure: Felonies Total Number of Cases","Median Time from Arraignment to Case Closure: Felonies Unknown Days Arraignment to Closure","Failures to Appear in Court: Felonies ","Failures to Appear in Court: Felonies Error / Warning"
Feb '20,214.0,,341.4,2,1780,342.4,369,0.5%,4.0,,31.7,0,2249,154.9,580,0.5%,17.5,,36.8,0,317,57.0,428,0.5%,30.0,,171.0,0,1729,337.7,369,0.5%,63.0,,152.7,0,1476,231.1,344,2.5%,253.0,,389.5,2,1780,366.2,267,0.7%,5.0,,15.0,0,391,37.4,393,0.5%,24.0,,42.2,0,317,58.4,314,0.6%,56.0,,227.2,0,1729,377.8,260,0.0%,42.0,,154.9,0,1476,261.2,243,3.2%,164,,143.0,Missing > 10%,209.0,16,1341,218.8,101,0.0%,1.0,,65.5,0,2249,269.3,179,0.0%,1.0,,22.2,0,265,52.3,104,0.0%,2.0,,37.3,0,1155,144.4,108,0.9%,98.0,Missing > 10%,147.4,14,606,134.1,101,0.0%,39,
Mar '20,236.5,,364.5,4,1679,357.5,216,2.7%,6.0,,22.7,0,429,56.8,573,0.7%,29.0,,45.3,0,335,59.5,374,0.0%,35.0,,189.5,0,1557,351.6,243,0.0%,50.0,,169.8,0,1497,250.2,204,1.4%,266.0,,402.9,4,1679,384.4,143,2.7%,7.0,,16.8,0,342,32.1,416,0.7%,36.0,,51.1,0,335,59.1,291,0.0%,47.0,,253.5,0,1557,396.3,168,0.0%,29.0,,153.0,0,1497,258.7,131,2.2%,91,,233.0,Missing > 10%,289.5,16,1457,285.5,73,1.4%,3.0,,38.1,0,429,94.3,154,0.0%,1.0,,24.8,0,291,57.8,79,0.0%,1.0,,47.0,0,1029,142.0,73,0.0%,142.0,Missing > 10%,202.7,0,1453,233.4,72,0.0%,29,
Apr '20,266.0,,544.8,18,1766,539.3,27,0.0%,4.0,,16.1,0,322,43.8,393,0.5%,41.0,,49.3,0,360,56.4,331,0.6%,2.0,,112.6,0,1042,276.6,71,0.0%,211.0,,331.3,0,1414,369.4,26,3.7%,618.0,,775.1,32,1766,586.6,13,0.0%,5.0,,14.3,0,322,34.3,251,0.4%,47.0,,57.4,0,360,59.0,260,0.4%,52.0,,201.2,0,1042,351.7,28,0.0%,224.0,,357.6,0,1414,389.1,13,0.0%,10,,166.5,Missing > 10%,331.0,18,1465,402.3,14,0.0%,3.0,,19.9,0,322,58.1,136,0.7%,4.5,,19.2,0,127,30.9,70,0.0%,1.0,,54.9,0,987,198.5,43,0.0%,150.0,Missing > 10%,304.9,14,1297,362.5,13,7.1%,8,
May '20,369.5,,611.7,1,2059,569.6,88,1.1%,4.0,,13.7,0,432,40.8,525,1.3%,28.0,,32.6,0,351,35.0,289,0.3%,3.0,,130.9,0,1408,284.4,153,0.0%,215.5,,385.1,0,1854,459.7,74,5.1%,636.0,,787.6,9,2059,612.5,56,1.8%,5.0,,11.3,0,286,22.9,354,1.7%,37.0,,41.3,0,351,37.8,183,0.0%,75.0,,228.1,0,1408,352.8,85,0.0%,320.5,,484.5,0,1854,537.1,46,4.2%,38,,232.0,Missing > 10%,281.0,1,1374,277.6,31,0.0%,2.0,,18.6,0,432,63.6,169,0.6%,4.0,,17.3,0,91,22.7,105,0.9%,1.0,,8.3,0,114,22.5,67,0.0%,162.0,Missing > 10%,221.9,0,994,215.2,28,6.7%,8,
Jun '20,240.0,,408.3,0,2225,445.3,147,1.3%,5.0,,26.3,0,1994,123.9,512,0.8%,35.0,,55.7,0,351,66.7,329,0.3%,2.0,,65.4,0,1643,187.2,121,0.8%,124.0,,255.6,0,1883,350.3,139,2.8%,276.0,,447.7,35,1913,464.6,96,2.0%,7.0,,15.7,0,969,60.0,339,0.3%,53.0,,72.6,0,351,70.1,212,0.5%,67.0,,155.7,0,1643,289.7,43,0.0%,118.0,,258.6,0,1780,364.0,92,1.1%,43,,166.0,Missing > 10%,334.0,0,2225,400.2,51,0.0%,2.0,,46.0,0,1994,196.7,168,1.8%,6.0,,23.3,0,238,42.4,115,0.0%,1.0,,13.2,0,276,36.7,76,1.3%,142.0,Missing > 10%,249.7,6,1883,325.6,47,6.0%,19,
Jul '20,294.0,,492.4,0,1984,479.5,237,0.8%,7.0,,25.9,0,1778,105.4,525,0.8%,34.0,,49.1,0,352,58.0,356,0.3%,109.5,,232.7,0,1911,395.5,252,0.4%,140.5,,184.4,0,1704,246.9,218,2.2%,320.0,,551.2,28,1984,502.5,181,0.5%,8.5,,14.4,0,206,21.7,356,0.6%,42.0,,58.1,0,352,61.5,240,0.4%,159.0,,303.8,0,1911,436.5,186,0.0%,141.0,,181.7,0,1704,252.1,164,3.0%,99,,178.0,Missing > 10%,304.2,0,1381,337.6,55,1.8%,3.0,,46.1,0,1778,173.4,168,1.2%,11.5,,29.9,0,210,44.2,114,0.0%,3.0,,32.6,0,477,81.7,65,1.5%,126.0,Missing > 10%,192.7,9,1161,232.2,54,0.0%,14,
Aug '20,276.0,,476.5,4,1968,446.5,281,0.7%,6.0,,19.6,0,800,56.3,565,0.5%,21.0,,49.2,0,349,66.1,304,0.3%,121.5,,208.9,0,2012,347.9,370,1.1%,117.5,,199.9,0,1701,293.8,266,1.5%,284.0,,504.9,4,1968,462.9,229,0.9%,7.0,,16.6,0,320,36.5,386,0.8%,42.0,,63.5,0,349,70.3,202,0.5%,145.5,,257.5,0,2012,378.0,286,0.7%,71.0,,193.1,0,1701,309.4,216,1.4%,115,,229.0,Missing > 10%,355.7,19,1565,344.3,51,0.0%,3.0,,23.9,0,800,81.4,174,0.0%,4.0,,20.9,0,334,45.3,101,0.0%,1.0,,44.0,0,882,108.7,83,2.4%,193.5,Missing > 10%,229.1,4,823,214.1,50,2.0%,18,
Sep '20,258.5,,415.2,4,2116,401.5,316,0.9%,7.0,,23.2,0,1715,95.2,467,0.4%,47.0,,69.6,0,352,70.6,422,0.7%,116.5,,189.8,0,1879,314.6,322,0.9%,68.0,,153.0,0,1821,232.3,284,3.4%,276.5,,445.9,4,2116,428.8,250,1.2%,8.0,,17.3,0,490,43.1,333,0.0%,63.0,,79.6,0,352,70.3,329,0.9%,142.0,,223.4,0,1879,329.7,245,0.8%,36.0,,141.7,0,1821,243.8,223,3.5%,108,,213.0,Missing > 10%,290.4,16,1127,240.6,63,0.0%,3.0,,38.1,0,1715,165.5,131,1.5%,8.0,,34.2,0,282,60.6,90,0.0%,1.0,,81.3,0,1400,233.1,76,1.3%,191.5,Missing > 10%,200.0,12,1125,183.1,58,3.3%,17,
Oct '20,251.0,,354.0,2,1507,317.5,257,0.4%,5.0,,22.1,0,1530,87.6,487,0.6%,48.0,,56.9,0,363,49.3,450,0.4%,63.5,,124.2,0,1540,207.0,334,0.3%,44.0,,133.0,0,1172,205.4,244,1.6%,244.5,,348.0,2,1507,316.2,196,0.5%,9.0,,17.9,0,677,47.9,300,0.7%,55.0,,64.8,0,342,47.3,353,0.6%,84.5,,146.9,0,1540,226.9,258,0.4%,29.5,,94.5,0,1172,185.1,184,2.1%,94,,275.0,Missing > 10%,373.0,43,1435,323.4,61,0.0%,2.0,,27.2,0,1530,129.3,179,0.6%,12.0,,27.4,0,363,46.4,94,0.0%,7.0,,48.0,0,351,77.7,75,0.0%,200.5,Missing > 10%,251.2,17,952,220.4,60,0.0%,24,
Nov '20,278.5,,377.7,16,2105,349.3,260,0.0%,9.0,,30.0,0,798,78.4,406,0.5%,49.0,,59.4,0,347,59.5,289,1.0%,49.0,,208.9,0,1497,335.0,335,0.6%,85.5,,191.6,0,1863,283.1,248,1.6%,292.0,,405.7,33,2105,372.4,194,0.0%,13.0,,23.0,0,308,40.0,255,0.8%,57.0,,67.5,0,347,57.7,207,1.0%,58.0,,254.5,0,1497,369.9,252,0.0%,65.5,,183.9,0,1863,309.0,186,0.5%,101,,243.0,Missing > 10%,298.7,16,1132,255.5,65,0.0%,4.0,,41.8,0,798,118.3,147,0.0%,14.5,,39.6,0,305,61.4,76,1.3%,22.0,,71.7,0,620,112.4,81,2.4%,171.0,Missing > 10%,218.4,0,884,184.2,61,4.7%,21,
